!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Quantity' name='Quantity' date='2020-07-18 12:15:02' objTablesVersion='1.0.5' ionicStrength='0.1' ionicStrengthUnit='mM' pH='7.0' temperature='298.15' temperatureUnit='kelvin' unit='kJ/mol',,,,,,
!Comment,!QuantityType,!Mean,!Std,!Sign,!Identifiers:kegg.reaction,!UseAsPriorInformation
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01493,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01494,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01495,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01496,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01497,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01498,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01500,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01501,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01503,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01504,False
,standard Gibbs energy of reaction,-25.3,18.7,0,R01505,False
,standard Gibbs energy of reaction,-311.8,12.1,0,R01506,False
,standard Gibbs energy of reaction,-252.4,12.1,0,R01507,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01508,False
,standard Gibbs energy of reaction,-15.4,1.1,0,R01511,False
,standard Gibbs energy of reaction,18.4,0.9,0,R01512,False
,standard Gibbs energy of reaction,34.6,1.1,0,R01513,False
,standard Gibbs energy of reaction,-11.0,1.2,0,R01514,False
,standard Gibbs energy of reaction,-44.8,1.0,0,R01515,False
,standard Gibbs energy of reaction,-8.5,4.6,0,R01516,False
,standard Gibbs energy of reaction,20.9,2.8,0,R01517,False
,standard Gibbs energy of reaction,-4.2,0.7,0,R01518,False
,standard Gibbs energy of reaction,-28.0,6.5,0,R01519,False
,standard Gibbs energy of reaction,-3.4,2.2,0,R01520,False
,standard Gibbs energy of reaction,-2.4,2.2,0,R01521,False
,standard Gibbs energy of reaction,-136.9,8.6,0,R01522,False
,standard Gibbs energy of reaction,-19.0,4.5,0,R01523,False
,standard Gibbs energy of reaction,22.7,3.5,0,R01524,False
,standard Gibbs energy of reaction,23.7,3.5,0,R01525,False
,standard Gibbs energy of reaction,-25.8,3.5,0,R01526,False
,standard Gibbs energy of reaction,11.2,6.3,0,R01528,False
,standard Gibbs energy of reaction,-3.4,2.3,0,R01529,False
,standard Gibbs energy of reaction,2.6,3.4,0,R01530,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01532,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01533,False
,standard Gibbs energy of reaction,3.8,106.1,0,R01535,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01537,False
,standard Gibbs energy of reaction,-32.7,8.9,0,R01538,False
,standard Gibbs energy of reaction,-37.5,7.3,0,R01540,False
,standard Gibbs energy of reaction,-20.5,7.7,0,R01541,False
,standard Gibbs energy of reaction,16.1,7.4,0,R01542,False
,standard Gibbs energy of reaction,19.6,7.4,0,R01543,False
,standard Gibbs energy of reaction,-27.4,7.6,0,R01544,False
,standard Gibbs energy of reaction,-0.5,2.9,0,R01547,False
,standard Gibbs energy of reaction,-14.3,4.8,0,R01548,False
,standard Gibbs energy of reaction,-19.6,7.5,0,R01549,False
,standard Gibbs energy of reaction,-8.5,0.6,0,R01550,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01553,False
,standard Gibbs energy of reaction,2.0,3.0,0,R01555,False
,standard Gibbs energy of reaction,-2.7,7.2,0,R01556,False
,standard Gibbs energy of reaction,-2.9,3.6,0,R01557,False
,standard Gibbs energy of reaction,-19.4,7.2,0,R01558,False
,standard Gibbs energy of reaction,-9.5,7.6,0,R01559,False
,standard Gibbs energy of reaction,-22.9,1.4,0,R01560,False
,standard Gibbs energy of reaction,8.2,2.6,0,R01561,False
,standard Gibbs energy of reaction,-15.8,5.8,0,R01562,False
,standard Gibbs energy of reaction,-30.2,15.0,0,R01563,False
,standard Gibbs energy of reaction,-83.3,17.6,0,R01564,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01565,False
,standard Gibbs energy of reaction,-42.9,11.0,0,R01566,False
,standard Gibbs energy of reaction,-14.9,5.9,0,R01567,False
,standard Gibbs energy of reaction,-12.3,5.9,0,R01568,False
,standard Gibbs energy of reaction,-11.5,5.9,0,R01569,False
,standard Gibbs energy of reaction,4.4,8.9,0,R01570,False
,standard Gibbs energy of reaction,-2.7,6.3,0,R01571,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01572,False
,standard Gibbs energy of reaction,-23.1,4.7,0,R01573,False
,standard Gibbs energy of reaction,-23.6,4.9,0,R01574,False
,standard Gibbs energy of reaction,-22.7,4.9,0,R01575,False
,standard Gibbs energy of reaction,18.5,4.5,0,R01576,False
,standard Gibbs energy of reaction,5.3,1.5,0,R01577,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01578,False
,standard Gibbs energy of reaction,-18.4,7.6,0,R01579,False
,standard Gibbs energy of reaction,-0.6,15.5,0,R01580,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01581,False
,standard Gibbs energy of reaction,8.4,9.8,0,R01582,False
,standard Gibbs energy of reaction,-8.4,2.6,0,R01583,False
,standard Gibbs energy of reaction,43.2,9.5,0,R01584,False
,standard Gibbs energy of reaction,-28.9,8.1,0,R01585,False
,standard Gibbs energy of reaction,0.2,9.6,0,R01586,False
,standard Gibbs energy of reaction,8.9,7.6,0,R01587,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01588,False
,standard Gibbs energy of reaction,-51.1,12.7,0,R01589,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01590,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01593,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01594,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01595,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01596,False
,standard Gibbs energy of reaction,-9.8,4.0,0,R01598,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01599,False
,standard Gibbs energy of reaction,-17.3,0.9,0,R01600,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01602,False
,standard Gibbs energy of reaction,-28.1,8.9,0,R01604,False
,standard Gibbs energy of reaction,-27.1,8.9,0,R01607,False
,standard Gibbs energy of reaction,23.8,5.8,0,R01608,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01609,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01611,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01613,False
,standard Gibbs energy of reaction,-172.2,46.4,0,R01614,False
,standard Gibbs energy of reaction,-11.1,13.3,0,R01615,False
,standard Gibbs energy of reaction,-9.6,12.6,0,R01616,False
,standard Gibbs energy of reaction,-26.5,42.5,0,R01617,False
,standard Gibbs energy of reaction,-48.3,18.4,0,R01618,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01619,False
,standard Gibbs energy of reaction,-34.5,4.3,0,R01620,False
,standard Gibbs energy of reaction,-59.9,3.1,0,R01621,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01623,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01624,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01625,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01626,False
,standard Gibbs energy of reaction,-131.5,14.0,0,R01627,False
,standard Gibbs energy of reaction,-443.3,14.3,0,R01628,False
,standard Gibbs energy of reaction,-453.4,22.0,0,R01629,False
,standard Gibbs energy of reaction,-454.4,22.0,0,R01630,False
,standard Gibbs energy of reaction,-311.8,12.1,0,R01631,False
,standard Gibbs energy of reaction,-252.4,12.1,0,R01632,False
,standard Gibbs energy of reaction,-34.5,20.1,0,R01633,False
,standard Gibbs energy of reaction,-9.8,17.9,0,R01634,False
,standard Gibbs energy of reaction,-9.8,17.9,0,R01635,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01636,False
,standard Gibbs energy of reaction,-204.2,20.3,0,R01637,False
,standard Gibbs energy of reaction,-23.2,4.0,0,R01639,False
,standard Gibbs energy of reaction,3.8,3.8,0,R01641,False
,standard Gibbs energy of reaction,0.2,3.4,0,R01644,False
,standard Gibbs energy of reaction,6.4,5.2,0,R01645,False
,standard Gibbs energy of reaction,-6.4,3.7,0,R01647,False
,standard Gibbs energy of reaction,6.1,2.9,0,R01648,False
,standard Gibbs energy of reaction,-54.0,8.8,0,R01649,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01650,False
,standard Gibbs energy of reaction,-23.8,8.2,0,R01651,False
,standard Gibbs energy of reaction,19.5,8.5,0,R01652,False
,standard Gibbs energy of reaction,-33.6,7.4,0,R01654,False
,standard Gibbs energy of reaction,-5.0,1.8,0,R01655,False
,standard Gibbs energy of reaction,-86.3,11.8,0,R01657,False
,standard Gibbs energy of reaction,-71.2,5.4,0,R01658,False
,standard Gibbs energy of reaction,-71.2,5.4,0,R01659,False
,standard Gibbs energy of reaction,-34.4,6.2,0,R01660,False
,standard Gibbs energy of reaction,-36.3,4.6,0,R01662,False
,standard Gibbs energy of reaction,-24.8,4.9,0,R01663,False
,standard Gibbs energy of reaction,-15.9,4.6,0,R01664,False
,standard Gibbs energy of reaction,-3.2,5.8,0,R01665,False
,standard Gibbs energy of reaction,-10.5,16.4,0,R01666,False
,standard Gibbs energy of reaction,-23.2,5.8,0,R01667,False
,standard Gibbs energy of reaction,-38.1,18.0,0,R01668,False
,standard Gibbs energy of reaction,-8.4,4.9,0,R01669,False
,standard Gibbs energy of reaction,-46.8,5.7,0,R01670,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01675,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01676,False
,standard Gibbs energy of reaction,-1.8,5.4,0,R01677,False
,standard Gibbs energy of reaction,-10.9,2.1,0,R01678,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01680,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01681,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01682,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01683,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01684,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01685,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01686,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01687,False
,standard Gibbs energy of reaction,28.9,6.6,0,R01688,False
,standard Gibbs energy of reaction,72.3,6.4,0,R01689,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01690,False
,standard Gibbs energy of reaction,18.5,5.5,0,R01694,False
,standard Gibbs energy of reaction,-115.9,9.9,0,R01695,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01696,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01697,False
,standard Gibbs energy of reaction,5.2,1.8,0,R01698,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01699,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01700,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01701,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01702,False
,standard Gibbs energy of reaction,-583.2,18.0,0,R01703,False
,standard Gibbs energy of reaction,-36.2,12.2,0,R01704,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01705,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01706,False
,standard Gibbs energy of reaction,-19.6,14.5,0,R01707,False
,standard Gibbs energy of reaction,28.4,4.1,0,R01708,False
,standard Gibbs energy of reaction,-171.2,8.9,0,R01709,False
,standard Gibbs energy of reaction,-95.4,10.2,0,R01710,False
,standard Gibbs energy of reaction,-106.0,9.3,0,R01711,False
,standard Gibbs energy of reaction,0.3,5.8,0,R01712,False
,standard Gibbs energy of reaction,-2.8,6.0,0,R01713,False
,standard Gibbs energy of reaction,-48.7,25.1,0,R01714,False
,standard Gibbs energy of reaction,-23.1,10.3,0,R01715,False
,standard Gibbs energy of reaction,-16.2,6.0,0,R01716,False
,standard Gibbs energy of reaction,1.0,3.4,0,R01717,False
,standard Gibbs energy of reaction,-8.5,1.7,0,R01718,False
,standard Gibbs energy of reaction,29.7,6.7,0,R01720,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01721,False
,standard Gibbs energy of reaction,-0.6,6.2,0,R01722,False
,standard Gibbs energy of reaction,-23.3,6.7,0,R01723,False
,standard Gibbs energy of reaction,2.1,5.8,0,R01724,False
,standard Gibbs energy of reaction,-310.8,11.3,0,R01725,False
,standard Gibbs energy of reaction,-9.0,22.0,0,R01728,False
,standard Gibbs energy of reaction,-8.0,22.0,0,R01730,False
,standard Gibbs energy of reaction,-11.5,39.7,0,R01731,False
,standard Gibbs energy of reaction,6.4,33.7,0,R01732,False
,standard Gibbs energy of reaction,-374.9,25.8,0,R01734,False
,standard Gibbs energy of reaction,-35.5,5.0,0,R01735,False
,standard Gibbs energy of reaction,-30.0,6.0,0,R01736,False
,standard Gibbs energy of reaction,-10.1,6.4,0,R01737,False
,standard Gibbs energy of reaction,25.4,6.5,0,R01738,False
,standard Gibbs energy of reaction,19.2,1.7,0,R01739,False
,standard Gibbs energy of reaction,26.3,6.5,0,R01740,False
,standard Gibbs energy of reaction,1.3,6.2,0,R01741,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01742,False
,standard Gibbs energy of reaction,33.3,3.4,0,R01745,False
,standard Gibbs energy of reaction,34.3,3.4,0,R01747,False
,standard Gibbs energy of reaction,-19.7,1.3,0,R01748,False
,standard Gibbs energy of reaction,43.3,7.6,0,R01749,False
,standard Gibbs energy of reaction,44.3,7.6,0,R01750,False
,standard Gibbs energy of reaction,-14.2,6.8,0,R01751,False
,standard Gibbs energy of reaction,-49.3,3.1,0,R01752,False
,standard Gibbs energy of reaction,-2.5,3.2,0,R01754,False
,standard Gibbs energy of reaction,-7.7,4.3,0,R01757,False
,standard Gibbs energy of reaction,14.9,4.8,0,R01758,False
,standard Gibbs energy of reaction,15.9,4.8,0,R01759,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01760,False
,standard Gibbs energy of reaction,4.9,3.4,0,R01761,False
,standard Gibbs energy of reaction,-198.8,3.2,0,R01762,False
,standard Gibbs energy of reaction,20.9,2.4,0,R01763,False
,standard Gibbs energy of reaction,-13.7,11.6,0,R01764,False
,standard Gibbs energy of reaction,-3.1,10.3,0,R01766,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01767,False
,standard Gibbs energy of reaction,16.8,7.6,0,R01768,False
,standard Gibbs energy of reaction,-116.7,11.2,0,R01769,False
,standard Gibbs energy of reaction,-3.9,3.5,0,R01770,False
,standard Gibbs energy of reaction,-31.2,8.8,0,R01771,False
,standard Gibbs energy of reaction,22.9,3.4,0,R01773,False
,standard Gibbs energy of reaction,23.9,3.4,0,R01775,False
,standard Gibbs energy of reaction,-20.7,9.3,0,R01776,False
,standard Gibbs energy of reaction,-24.3,10.7,0,R01777,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01778,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01779,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01780,False
,standard Gibbs energy of reaction,26.8,4.3,0,R01781,False
,standard Gibbs energy of reaction,14.4,4.3,0,R01782,False
,standard Gibbs energy of reaction,19.8,5.8,0,R01784,False
,standard Gibbs energy of reaction,12.3,4.5,0,R01785,False
,standard Gibbs energy of reaction,-17.3,0.9,0,R01786,False
,standard Gibbs energy of reaction,13.2,2.1,0,R01787,False
,standard Gibbs energy of reaction,-9.1,0.9,0,R01788,False
,standard Gibbs energy of reaction,-272.1,1.6,0,R01790,False
,standard Gibbs energy of reaction,-272.1,1.6,0,R01791,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01793,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01794,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01795,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01797,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01798,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01799,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01800,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01801,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01802,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01803,False
,standard Gibbs energy of reaction,61.9,2.1,0,R01804,False
,standard Gibbs energy of reaction,-14.5,9.5,0,R01805,False
,standard Gibbs energy of reaction,8.1,5.6,0,R01806,False
,standard Gibbs energy of reaction,5.4,5.2,0,R01807,False
,standard Gibbs energy of reaction,0.6,5.2,0,R01808,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01810,False
,standard Gibbs energy of reaction,7.8,1.7,0,R01811,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01812,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01813,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01814,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01815,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01816,False
,standard Gibbs energy of reaction,12.9,3.3,0,R01817,False
,standard Gibbs energy of reaction,4.3,3.0,0,R01818,False
,standard Gibbs energy of reaction,-0.7,2.3,0,R01819,False
,standard Gibbs energy of reaction,-255.5,1.9,0,R01821,False
,standard Gibbs energy of reaction,247.3,2.6,0,R01823,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01824,False
,standard Gibbs energy of reaction,-41.5,4.4,0,R01825,False
,standard Gibbs energy of reaction,-69.4,4.7,0,R01826,False
,standard Gibbs energy of reaction,-0.7,2.8,0,R01827,False
,standard Gibbs energy of reaction,12.4,5.6,0,R01829,False
,standard Gibbs energy of reaction,10.0,3.8,0,R01830,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01833,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01834,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01835,False
,standard Gibbs energy of reaction,3.1,1.7,0,R01836,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01837,False
,standard Gibbs energy of reaction,4.1,1.8,0,R01838,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01840,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01841,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01842,False
,standard Gibbs energy of reaction,-8.3,5.7,0,R01843,False
,standard Gibbs energy of reaction,-9.0,5.0,0,R01844,False
,standard Gibbs energy of reaction,-18.1,5.7,0,R01845,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01850,False
,standard Gibbs energy of reaction,-52.0,12.5,0,R01851,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01853,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01854,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01855,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01856,False
,standard Gibbs energy of reaction,2.7,4.7,0,R01857,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01858,False
,standard Gibbs energy of reaction,-1.9,10.4,0,R01859,False
,standard Gibbs energy of reaction,-11.1,12.9,0,R01860,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01861,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01862,False
,standard Gibbs energy of reaction,9.2,2.1,0,R01863,False
,standard Gibbs energy of reaction,13.8,2.5,0,R01866,False
,standard Gibbs energy of reaction,-50.4,4.7,0,R01867,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01868,False
,standard Gibbs energy of reaction,12.8,2.4,0,R01869,False
,standard Gibbs energy of reaction,-14.4,2.6,0,R01870,False
,standard Gibbs energy of reaction,16.7,5.8,0,R01872,False
,standard Gibbs energy of reaction,-42.4,45.1,0,R01873,False
,standard Gibbs energy of reaction,6.8,8.8,0,R01874,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01875,False
,standard Gibbs energy of reaction,0.5,2.6,0,R01876,False
,standard Gibbs energy of reaction,-13.4,15.1,0,R01877,False
,standard Gibbs energy of reaction,-15.8,2.2,0,R01878,False
,standard Gibbs energy of reaction,-452.8,17.7,0,R01879,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01880,False
,standard Gibbs energy of reaction,13.2,0.4,0,R01881,False
,standard Gibbs energy of reaction,-39.6,0.7,0,R01882,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01883,False
,standard Gibbs energy of reaction,2.8,8.4,0,R01884,False
,standard Gibbs energy of reaction,-10.5,7.6,0,R01885,False
,standard Gibbs energy of reaction,0.6,22.4,0,R01886,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01887,False
,standard Gibbs energy of reaction,4.4,40.5,0,R01888,False
,standard Gibbs energy of reaction,-16.4,43.9,0,R01889,False
,standard Gibbs energy of reaction,3.1,5.8,0,R01890,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01891,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01892,False
,standard Gibbs energy of reaction,19.7,2.1,0,R01895,False
,standard Gibbs energy of reaction,20.2,1.9,0,R01896,False
,standard Gibbs energy of reaction,-2.9,3.5,0,R01898,False
,standard Gibbs energy of reaction,21.9,5.2,0,R01899,False
,standard Gibbs energy of reaction,0.7,2.2,0,R01900,False
,standard Gibbs energy of reaction,-21.5,5.0,0,R01901,False
,standard Gibbs energy of reaction,-24.3,5.1,0,R01902,False
,standard Gibbs energy of reaction,29.8,5.1,0,R01903,False
,standard Gibbs energy of reaction,20.7,2.6,0,R01904,False
,standard Gibbs energy of reaction,-5.9,7.7,0,R01905,False
,standard Gibbs energy of reaction,-12.7,4.9,0,R01906,False
,standard Gibbs energy of reaction,-22.0,13.2,0,R01908,False
,standard Gibbs energy of reaction,-9.1,4.3,0,R01909,False
,standard Gibbs energy of reaction,-106.9,9.0,0,R01910,False
,standard Gibbs energy of reaction,17.3,4.3,0,R01911,False
,standard Gibbs energy of reaction,-15.6,5.5,0,R01912,False
,standard Gibbs energy of reaction,-576.8,8.5,0,R01913,False
,standard Gibbs energy of reaction,-91.9,18.7,0,R01914,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01915,False
,standard Gibbs energy of reaction,-23.7,21.4,0,R01917,False
,standard Gibbs energy of reaction,-2.7,31.8,0,R01918,False
,standard Gibbs energy of reaction,0.4,29.3,0,R01919,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01920,False
,standard Gibbs energy of reaction,26.6,4.1,0,R01921,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01922,False
,standard Gibbs energy of reaction,2.0,5.8,0,R01923,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01924,False
,standard Gibbs energy of reaction,-1.1,5.8,0,R01925,False
,standard Gibbs energy of reaction,-10.1,21.3,0,R01926,False
,standard Gibbs energy of reaction,-22.0,22.2,0,R01928,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01929,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01930,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01931,False
,standard Gibbs energy of reaction,-25.4,3.2,0,R01932,False
,standard Gibbs energy of reaction,-33.0,7.3,0,R01933,False
,standard Gibbs energy of reaction,9.6,8.5,0,R01934,False
,standard Gibbs energy of reaction,-12.7,9.8,0,R01936,False
,standard Gibbs energy of reaction,88.1,6.4,0,R01937,False
,standard Gibbs energy of reaction,89.0,6.4,0,R01938,False
,standard Gibbs energy of reaction,-0.7,5.8,0,R01939,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01940,False
,standard Gibbs energy of reaction,-11.0,18.6,0,R01941,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01942,False
,standard Gibbs energy of reaction,-9.5,18.1,0,R01943,False
,standard Gibbs energy of reaction,-25.9,39.8,0,R01944,False
,standard Gibbs energy of reaction,19.6,37.9,0,R01945,False
,standard Gibbs energy of reaction,-2.6,38.0,0,R01946,False
,standard Gibbs energy of reaction,-2.6,6.1,0,R01951,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01952,False
,standard Gibbs energy of reaction,1.7,2.9,0,R01954,False
,standard Gibbs energy of reaction,-7.4,13.1,0,R01956,False
,standard Gibbs energy of reaction,-15.4,13.4,0,R01957,False
,standard Gibbs energy of reaction,-32.0,14.6,0,R01959,False
,standard Gibbs energy of reaction,-443.3,16.6,0,R01960,False
,standard Gibbs energy of reaction,-9.1,5.8,0,R01961,False
,standard Gibbs energy of reaction,-162.3,10.4,0,R01962,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01963,False
,standard Gibbs energy of reaction,-12.8,6.4,0,R01964,False
,standard Gibbs energy of reaction,-12.2,6.7,0,R01965,False
,standard Gibbs energy of reaction,43.4,3.8,0,R01966,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01967,False
,standard Gibbs energy of reaction,-14.4,4.6,0,R01968,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01969,False
,standard Gibbs energy of reaction,-14.0,5.8,0,R01971,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01972,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01973,False
,standard Gibbs energy of reaction,4.7,6.7,0,R01974,False
,standard Gibbs energy of reaction,18.0,2.4,0,R01975,False
,standard Gibbs energy of reaction,19.0,2.5,0,R01976,False
,standard Gibbs energy of reaction,19.4,7.1,0,R01977,False
,standard Gibbs energy of reaction,16.9,30.5,0,R01978,False
,standard Gibbs energy of reaction,-6.7,3.4,0,R01980,False
,standard Gibbs energy of reaction,-28.1,3.3,0,R01981,False
,standard Gibbs energy of reaction,-571.5,3.5,0,R01982,False
,standard Gibbs energy of reaction,1.4,4.1,0,R01983,False
,standard Gibbs energy of reaction,31.1,5.0,0,R01984,False
,standard Gibbs energy of reaction,-46.5,5.5,0,R01986,False
,standard Gibbs energy of reaction,19.5,4.4,0,R01987,False
,standard Gibbs energy of reaction,41.1,15.0,0,R01989,False
,standard Gibbs energy of reaction,-69.7,12.0,0,R01990,False
,standard Gibbs energy of reaction,-31.0,5.8,0,R01991,False
,standard Gibbs energy of reaction,-3.4,18.3,0,R01992,False
,standard Gibbs energy of reaction,-3.6,3.4,0,R01993,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01994,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01995,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01996,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01997,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01998,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R01999,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02000,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02002,False
,standard Gibbs energy of reaction,-72.9,20.4,0,R02003,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02004,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02006,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02007,False
,standard Gibbs energy of reaction,-64.0,21.1,0,R02008,False
,standard Gibbs energy of reaction,-23.3,17.7,0,R02009,False
,standard Gibbs energy of reaction,-255.1,20.7,0,R02010,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02011,False
uncertainty is too high,standard Gibbs energy of reaction,,,0,R02012,False
,standard Gibbs energy of reaction,-178.6,19.5,0,R02013,False
,standard Gibbs energy of reaction,40.1,9.7,0,R02014,False
,standard Gibbs energy of reaction,13.0,5.9,0,R02016,False
